match_date,home_team,match_score,away_team
11-09-2021,Man United,4 - 1,Newcastle
19-09-2021,West Ham,1 - 2,Man United
25-09-2021,Man United,0 - 1,Aston Villa
02-10-2021,Man United,1 - 1,Everton
16-10-2021,Leicester,4 - 2,Man United
24-10-2021,Man United,0 - 5,Liverpool
30-10-2021,Tottenham,0 - 3,Man United
06-11-2021,Man United,0 - 2,Man City
20-11-2021,Watford,4 - 1,Man United
28-11-2021,Chelsea,1 - 1,Man United
02-12-2021,Man United,3 - 2,Arsenal
05-12-2021,Man United,1 - 0,Crystal Palace
11-12-2021,Norwich,0 - 1,Man United
27-12-2021,Newcastle,1 - 1,Man United
30-12-2021,Man United,3 - 1,Burnley
03-01-2022,Man United,0 - 1,Wolves
15-01-2022,Aston Villa,2 - 2,Man United
19-01-2022,Brentford,1 - 3,Man United
22-01-2022,Man United,1 - 0,West Ham
08-02-2022,Burnley,1 - 1,Man United
12-02-2022,Man United,1 - 1,Southampton
15-02-2022,Man United,2 - 0,Brighton
20-02-2022,Leeds,2 - 4,Man United
26-02-2022,Man United,0 - 0,Watford
06-03-2022,Man City,4 - 1,Man United
12-03-2022,Man United,3 - 2,Tottenham
02-04-2022,Man United,1 - 1,Leicester
09-04-2022,Everton,1 - 0,Man United
16-04-2022,Man United,3 - 2,Norwich
19-04-2022,Liverpool,4 - 0,Man United
23-04-2022,Arsenal,3 - 1,Man United
28-04-2022,Man United,1 - 1,Chelsea
02-05-2022,Man United,3 - 0,Brentford
07-05-2022,Brighton,4 - 0,Man United
22-05-2022,Crystal Palace,1 - 0,Man United
15-08-2021,Newcastle,2 - 4,West Ham
21-08-2021,Aston Villa,2 - 0,Newcastle
28-08-2021,Newcastle,2 - 2,Southampton
11-09-2021,Man United,4 - 1,Newcastle
17-09-2021,Newcastle,1 - 1,Leeds
25-09-2021,Watford,1 - 1,Newcastle
02-10-2021,Wolves,2 - 1,Newcastle
17-10-2021,Newcastle,2 - 3,Tottenham
23-10-2021,Crystal Palace,1 - 1,Newcastle
30-10-2021,Newcastle,0 - 3,Chelsea
06-11-2021,Brighton,1 - 1,Newcastle
